No. ; Fila ; Columna ; Caracter ;Descripcion
277;<;75;1;Token_apertura;
278;/;75;2;Token_Barra;
279;>;75;7;Token_cierre;
280;ruta;75;3;Token_ID;
281;<;77;1;Token_apertura;
282;>;77;6;Token_cierre;
283;ruta;77;2;Token_ID;
284;<;78;5;Token_apertura;
285;>;78;12;Token_cierre;
286;nombre;78;6;Token_ID;
287;<;80;5;Token_cierre;
288;rutaJardines;80;-7;Token_ruta;
289;/;80;6;Token_Barra;
290;>;80;13;Token_cierre;
291;nombre;80;7;Token_ID;
292;<;81;5;Token_apertura;
293;>;81;10;Token_cierre;
294;peso;81;6;Token_ID;
295;2;81;11;Token_peso;
296;<;81;12;Token_cierre;
297;/;81;13;Token_Barra;
298;>;81;18;Token_cierre;
299;peso;81;14;Token_ID;
300;<;82;5;Token_apertura;
301;>;82;12;Token_cierre;
302;inicio;82;6;Token_ID;
303;<;84;5;Token_cierre;
304;estacionzona1;84;-8;Token_ruta;
305;/;84;6;Token_Barra;
306;>;84;13;Token_cierre;
307;inicio;84;7;Token_ID;
308;<;85;5;Token_apertura;
309;>;85;9;Token_cierre;
310;fin;85;6;Token_ID;
311;<;87;5;Token_cierre;
312;estacionzona5;87;-8;Token_ruta;
313;/;87;6;Token_Barra;
314;>;87;10;Token_cierre;
315;fin;87;7;Token_ID;
316;<;88;1;Token_apertura;
317;/;88;2;Token_Barra;
318;>;88;7;Token_cierre;
319;ruta;88;3;Token_ID;
320;<;90;1;Token_apertura;
321;>;90;6;Token_cierre;
322;ruta;90;2;Token_ID;
323;<;91;5;Token_apertura;
324;>;91;12;Token_cierre;
325;nombre;91;6;Token_ID;
326;<;93;5;Token_cierre;
327;ruta4;93;0;Token_ruta;
328;/;93;6;Token_Barra;
329;>;93;13;Token_cierre;
330;nombre;93;7;Token_ID;
331;<;94;5;Token_apertura;
332;>;94;10;Token_cierre;
333;peso;94;6;Token_ID;
334;1.2;94;11;Token_peso;
335;<;94;14;Token_cierre;
336;/;94;15;Token_Barra;
337;>;94;20;Token_cierre;
338;peso;94;16;Token_ID;
339;<;95;5;Token_apertura;
340;>;95;12;Token_cierre;
341;inicio;95;6;Token_ID;
342;<;97;5;Token_cierre;
343;estacionzona6;97;-8;Token_ruta;
344;/;97;6;Token_Barra;
345;>;97;13;Token_cierre;
346;inicio;97;7;Token_ID;
347;<;98;5;Token_apertura;
348;>;98;9;Token_cierre;
349;fin;98;6;Token_ID;
350;<;100;5;Token_cierre;
351;estacionzona4;100;-8;Token_ruta;
352;/;100;6;Token_Barra;
353;>;100;10;Token_cierre;
354;fin;100;7;Token_ID;
355;<;101;1;Token_apertura;
356;/;101;2;Token_Barra;
357;>;101;7;Token_cierre;
358;ruta;101;3;Token_ID;
359;<;103;1;Token_apertura;
360;>;103;6;Token_cierre;
361;ruta;103;2;Token_ID;
362;<;104;5;Token_apertura;
363;>;104;12;Token_cierre;
364;nombre;104;6;Token_ID;
365;<;106;5;Token_cierre;
366;ruta_4_5;106;-3;Token_ruta;
367;/;106;6;Token_Barra;
368;>;106;13;Token_cierre;
369;nombre;106;7;Token_ID;
370;<;107;5;Token_apertura;
371;>;107;10;Token_cierre;
372;peso;107;6;Token_ID;
373;2;107;11;Token_peso;
374;<;107;12;Token_cierre;
375;/;107;13;Token_Barra;
376;>;107;18;Token_cierre;
377;peso;107;14;Token_ID;
378;<;108;5;Token_apertura;
379;>;108;12;Token_cierre;
380;inicio;108;6;Token_ID;
381;<;110;5;Token_cierre;
382;estacionzona4;110;-8;Token_ruta;
383;/;110;6;Token_Barra;
384;>;110;13;Token_cierre;
385;inicio;110;7;Token_ID;
386;<;111;5;Token_apertura;
387;>;111;9;Token_cierre;
388;fin;111;6;Token_ID;
389;<;113;5;Token_cierre;
390;estacionzona5;113;-8;Token_ruta;
391;/;113;6;Token_Barra;
392;>;113;10;Token_cierre;
393;fin;113;7;Token_ID;
394;<;114;1;Token_apertura;
395;/;114;2;Token_Barra;
396;>;114;7;Token_cierre;
397;ruta;114;3;Token_ID;
398;<;119;1;Token_apertura;
399;>;119;6;Token_cierre;
400;ruta;119;2;Token_ID;
401;<;120;5;Token_apertura;
402;>;120;12;Token_cierre;
403;nombre;120;6;Token_ID;
404;<;122;5;Token_cierre;
405;ruta_2_5;122;-3;Token_ruta;
406;/;122;6;Token_Barra;
407;>;122;13;Token_cierre;
408;nombre;122;7;Token_ID;
409;<;123;5;Token_apertura;
410;>;123;10;Token_cierre;
411;peso;123;6;Token_ID;
412;3;123;11;Token_peso;
413;<;123;12;Token_cierre;
414;/;123;13;Token_Barra;
415;>;123;18;Token_cierre;
416;peso;123;14;Token_ID;
417;<;124;5;Token_apertura;
418;>;124;12;Token_cierre;
419;inicio;124;6;Token_ID;
420;<;126;5;Token_cierre;
421;estacionzona2;126;-8;Token_ruta;
422;/;126;6;Token_Barra;
423;>;126;13;Token_cierre;
424;inicio;126;7;Token_ID;
425;<;127;5;Token_apertura;
426;>;127;9;Token_cierre;
427;fin;127;6;Token_ID;
428;<;129;5;Token_cierre;
429;estacionzona5;129;-8;Token_ruta;
430;/;129;6;Token_Barra;
431;>;129;10;Token_cierre;
432;fin;129;7;Token_ID;
433;<;130;1;Token_apertura;
434;/;130;2;Token_Barra;
435;>;130;7;Token_cierre;
436;ruta;130;3;Token_ID;
437;<;132;1;Token_apertura;
438;>;132;10;Token_cierre;
439;estacIon;132;2;Token_ID;
440;<;133;5;Token_apertura;
441;>;133;11;Token_cierre;
442;color;133;6;Token_ID;
443;<;133;19;Token_cierre;
444;#AF5B1A;133;12;Token_color;
445;/;133;20;Token_Barra;
446;>;133;26;Token_cierre;
447;color;133;21;Token_ID;
448;<;134;5;Token_apertura;
449;>;134;12;Token_cierre;
450;nombre;134;6;Token_ID;
451;<;134;26;Token_cierre;
452;estacionzona4;134;13;Token_estacion;
453;/;134;27;Token_Barra;
454;>;134;34;Token_cierre;
455;nombre;134;28;Token_ID;
456;<;135;5;Token_apertura;
457;>;135;12;Token_cierre;
458;estado;135;6;Token_ID;
459;<;135;20;Token_cierre;
460;cerrada;135;13;Token_estado;
461;/;135;21;Token_Barra;
462;>;135;28;Token_cierre;
463;estado;135;22;Token_ID;
464;<;136;1;Token_apertura;
465;/;136;2;Token_Barra;
466;>;136;11;Token_cierre;
467;estacion;136;3;Token_ID;
468;<;138;1;Token_apertura;
469;>;138;8;Token_cierre;
470;nombre;138;2;Token_ID;
471;<;138;21;Token_apertura;
472;/;138;22;Token_Barra;
473;>;138;29;Token_cierre;
474;nombre;138;23;Token_ID;
